PARTITAIVA;FARMACO;QUANTITA;DATA_E_ORA
01272100437;ROPINIROLO MYLAN GENERICS;3;2020-03-22 00:00:08
02204580423;RISEDRONATO SANDOZ;3;2020-03-22 00:00:11
02552120426;ROPINIROLO KRKA;5;2020-03-22 00:00:15
02528570423;LIXIDOL;2;2020-03-22 00:00:20
01163790429;CEFUROXIMA MYLAN;4;2020-03-22 00:01:01
02159410428;FROVATRIPTAN DOC GENERICI;5;2020-03-22 00:01:06
01229130420;LOSARTAN E IDROCLOROTIAZIDE ALMUS;3;2020-03-22 00:01:13
02077490429;ALVAND;5;2020-03-22 00:01:18
00008080426;AMOXICILLINA E ACIDO CLAVULANICO ABC;1;2020-03-22 00:01:26
02109130423;CRINOZOL;4;2020-03-22 00:01:33
01591190424;PERINDOPRIL TEVA ITALIA;2;2020-03-22 00:01:44
02286900424;MIDELUT;1;2020-03-22 00:02:19
02395430420;EZETIMIBE ALTER;4;2020-03-22 00:02:57
00838020428;PAROXETINA DOC GENERICI;4;2020-03-22 00:02:59
00167310424;CORIPREN;5;2020-03-22 00:03:04
00011270428;QUENTIAX;1;2020-03-22 00:03:20
00170060420;DAPAROX;1;2020-03-22 00:03:32
02402820423;AMOXICILLINA E ACIDO CLAVULANICO AUROBINDO ITALIA;2;2020-03-22 00:03:33
02834420420;DORTOZ;4;2020-03-22 00:03:46
01177630241;PRESSURAL;3;2020-03-22 00:03:53
02550040428;LERCANIDIPINA RATIOPHARM ITALIA;1;2020-03-22 00:04:01
02309280416;ANASTROZOLO AUROBINDO;4;2020-03-22 00:04:13
00106720428;CODAMOL;4;2020-03-22 00:05:00
01541420426;CARVEDILOLO ALTER;2;2020-03-22 00:05:17
01258500428;MELOXICAM ZENTIVA;5;2020-03-22 00:05:17
01581650429;CHIARO;4;2020-03-22 00:05:20
02531230429;ZOPRANOL;1;2020-03-22 00:05:28
02806420424;CEFTAZIDIMA KABI;5;2020-03-22 00:05:36
00887830420;AURADOL;2;2020-03-22 00:06:36
02484020421;ARIPIPRAZOLO AUROBINDO ITALIA;4;2020-03-22 00:06:36
01422920429;PREGABALIN PENSA;4;2020-03-22 00:07:27
02490060429;ENALAPRIL PENSA;3;2020-03-22 00:07:29
02365710421;LITURSOL;1;2020-03-22 00:07:30
01304600420;BRINZOLAMIDE E TIMOLOLO MYLAN;2;2020-03-22 00:08:05
00045360427;CANDESARTAN SANDOZ;1;2020-03-22 00:08:26
02082790425;IMMUTREX*;4;2020-03-22 00:08:38
02420690428;FLUOXETINA EG;4;2020-03-22 00:08:39
02310740424;CIPROFLOXACINA AUROBINDO;2;2020-03-22 00:08:51
02808860429;LANSOPRAZOLO SANDOZ BV;4;2020-03-22 00:08:52
02412410421;AMARYL;2;2020-03-22 00:09:03
02769570421;ZANIPRIL;1;2020-03-22 00:09:13
02536680420;ATORVASTATINA AUROBINDO;4;2020-03-22 00:09:17
02298560422;FOLIFILL;2;2020-03-22 00:09:34
02658310608;VISOFID;2;2020-03-22 00:09:40
00736750423;OLANZAPINA EUROGENERICI;4;2020-03-22 00:09:49
01008100420;VALSARTAN ALTER;4;2020-03-22 00:10:02
01054480429;ACEDIUR;4;2020-03-22 00:10:22
02502470426;LEVOFLOXACINA ALTER;3;2020-03-22 00:10:42
00032630428;DORZOLAMIDE AUROBINDO;2;2020-03-22 00:11:05
02671260426;OLPRESS;4;2020-03-22 00:11:10
00516270428;LANSOPRAZOLO GERMED PHARMA;4;2020-03-22 00:11:17
02266660428;RUPATADINA DOC GENERICI;1;2020-03-22 00:11:34
02809570423;ACECLOFENAC ACCORD;3;2020-03-22 00:11:42
01385890429;ACIDO IBANDRONICO TECNIGEN;4;2020-03-22 00:11:44
02513010427;FINASTERIDE SUN;5;2020-03-22 00:11:49
00179910427;RIZATRIPTAN TEVA;5;2020-03-22 00:12:45
01553010420;GLICLAZIDE DOC GENERICI;5;2020-03-22 00:12:53
00992280420;OMEPRAZOLO ALMUS PHARMA;5;2020-03-22 00:12:59
02603280427;DOXAZOSINA SANDOZ;2;2020-03-22 00:13:00
00066360421;LATANOPROST MYLAN GENERICS ITALIA;2;2020-03-22 00:13:06
00433900420;ENTECAVIR ARISTO;1;2020-03-22 00:13:10
01331160422;SIMVASTATINA PENSA;3;2020-03-22 00:13:15
02092440425;FLUOXETINA EUROGENERICI;4;2020-03-22 00:13:24
00886430420;MYFORTIC;1;2020-03-22 00:14:09
01325090429;XALATAN;2;2020-03-22 00:15:02
02174750428;LERCANIDIPINA AUROBINDO;2;2020-03-22 00:15:09
00156300428;RAMANTAL;5;2020-03-22 00:15:34
00090010422;MONTELUKAST SUN;3;2020-03-22 00:15:56
02462410420;POSACONAZOLO EG;3;2020-03-22 00:16:03
02402620427;EZETIMIBE MYLAN;2;2020-03-22 00:16:29
01283660429;ENTECAVIR ACCORD;2;2020-03-22 00:16:30
02631650427;RAMIPRIL SANDOZ;2;2020-03-22 00:17:23
01577040429;DYMAURIC;1;2020-03-22 00:17:27
01170410425;ROPINIROLO TEVA;4;2020-03-22 00:17:34
01430880425;TEMODAL;2;2020-03-22 00:18:31
00805240421;PREGABALIN PENSA;3;2020-03-22 00:18:32
02681060428;IDALAZIDE;1;2020-03-22 00:18:47
02458200421;RISPERIDONE TEVA GENERICS;2;2020-03-22 00:18:48
00172980427;CEFACLOR;2;2020-03-22 00:19:07
01168600425;LISINOPRIL IDROCLOROTIAZIDE PENSA;4;2020-03-22 00:19:10
02841830421;FORMISTIN;4;2020-03-22 00:19:40
02535540427;PERINDOPRIL E AMLODIPINA HCS;1;2020-03-22 00:19:40
00097050421;DILTIAZEM MYLAN GENERICS ITALIA;3;2020-03-22 00:19:44
02346030428;GALNORA;2;2020-03-22 00:19:49
02613310420;VOLTAREN;5;2020-03-22 00:20:43
00714980422;ZORIAS;3;2020-03-22 00:20:54
02217820428;DOXAZOSIN AUROBINDO;5;2020-03-22 00:20:54
01492540420;ACIDO ACETILSALICILICO TEVA ITALIA;3;2020-03-22 00:21:16
-;BALFOLIC;3;2020-03-22 00:21:52
02404410421;ESCITALOPRAM ACCORD;4;2020-03-22 00:21:54
02016730422;FINASTERIDE AHCL;4;2020-03-22 00:22:01
00205200421;IMIGRAN;1;2020-03-22 00:22:20
02269580425;METFORMINA EG;4;2020-03-22 00:22:51
02401720426;VERAPAMIL;4;2020-03-22 00:23:15
02537240422;ZIMANEL;4;2020-03-22 00:23:26
02832700427;LOSEC;2;2020-03-22 00:23:49
02354140424;FOSFOMICINA SUN;3;2020-03-22 00:24:01
02770160428;ACIDO IBANDRONICO EG;1;2020-03-22 00:24:56
01063290421;PREGABALIN TECNIGEN;2;2020-03-22 00:25:04
01310900426;TILDIEM;3;2020-03-22 00:25:05
01131570424;MONURIL;3;2020-03-22 00:25:13
02355240421;ANASTROZOLO SANDOZ;3;2020-03-22 00:25:14
00704740422;SERTRALINA HEXAL;1;2020-03-22 00:26:04
02542140427;CANDESARTAN E IDROCLOROTIAZIDE DOC GENERICI;4;2020-03-22 00:26:35
00332510429;CEFTRIAXONE GIT;5;2020-03-22 00:27:07
02407620422;PANTOPRAZOLO TEVA ITALIA;3;2020-03-22 00:27:10
00458350428;AREMAS;1;2020-03-22 00:27:15
01470350669;CELECOXIB MYLAN;4;2020-03-22 00:27:26
00935300426;SIMEDRAL;5;2020-03-22 00:27:48
00063480420;HOMER;4;2020-03-22 00:27:51
00372590422;CLENIL;5;2020-03-22 00:27:58
02549300420;PERINDOPRIL INDAPAMIDE TECNIGEN;3;2020-03-22 00:28:14
02364740429;METOPROLOLO AUROBINDO;5;2020-03-22 00:28:27
03664141201;KOLEROS;2;2020-03-22 00:28:44
00109450429;AMOXICILLINA ALMUS;1;2020-03-22 00:29:16
02389050424;DILIVAS;2;2020-03-22 00:29:22
00194530424;RIZATRIPTAN EG;2;2020-03-22 00:29:24
00681310421;NIMESULIDE;2;2020-03-22 00:29:34
00590320420;NEBIVOLOLO AUROBINDO;2;2020-03-22 00:29:50
00660470428;ARIPIPRAZOLO MYLAN PHARMA;4;2020-03-22 00:29:57
02803660428;POSACONAZOLO MYLAN PHARMA;2;2020-03-22 00:30:00
02809180421;GLUCOSIO MONICO;4;2020-03-22 00:30:14
01502950429;PERINDOPRIL E INDAPAMIDE TECNIGEN;4;2020-03-22 00:30:22
02045340425;LEVETIRACETAM ALMUS;4;2020-03-22 00:30:39
02090370426;ENALAPRIL E LERCANIDIPINA DOC;5;2020-03-22 00:30:41
02813870421;AMOXICILLINA E ACIDO CLAVULANICO PENSA;2;2020-03-22 00:30:57
00176190429;LETROZOLO DOC;5;2020-03-22 00:30:58
02354850428;GOMEISA;4;2020-03-22 00:31:17
00752170423;AMOXICILLINA ALTER;3;2020-03-22 00:31:27
00724440425;EZETIMIBE E SIMVASTATINA ALMUS;2;2020-03-22 00:31:36
00135200426;RAMIPRIL RATIOPHARM;3;2020-03-22 00:31:38
00371300427;MESAFLOR;5;2020-03-22 00:31:46
00176320422;ZEUSEFF;1;2020-03-22 00:32:11
02421410420;ITOREX;5;2020-03-22 00:32:12
02721500425;FLONTALEXIN;2;2020-03-22 00:32:22
02483570426;RAMIPRIL E IDROCLOROTIAZIDE PENSA;4;2020-03-22 00:32:26
01404240416;BENAZEPRIL SANDOZ;1;2020-03-22 00:32:33
01261600421;TOPIRAMATO EG;1;2020-03-22 00:32:45
01148790429;RAINGEN;4;2020-03-22 00:33:03
02632970428;EVISTA;1;2020-03-22 00:33:17
00886370428;ALENDRONATO TEVA;4;2020-03-22 00:33:40
01431020427;ACIDO ALENDRONICO AUROBINDO;3;2020-03-22 00:33:45
02722250426;LANSOPRAZOLO TEVA;5;2020-03-22 00:33:58
02772230427;DICLOFAN;3;2020-03-22 00:34:10
02536700426;SALMETEROLO FLUTICASONE SF;1;2020-03-22 00:34:16
00171160427;CLARMAC;1;2020-03-22 00:34:23
02174000428;PROPAFENONE ACCORD;2;2020-03-22 00:34:53
02052850423;STAMIDIX;2;2020-03-22 00:34:57
02258310792;FORMOTEROLO VIATRIS NOVOLIZER;2;2020-03-22 00:35:12
02540740426;PAROXETINA ZENTIVA;1;2020-03-22 00:35:49
00026370429;RABEPRAZOLO TEVA;4;2020-03-22 00:35:51
02220640425;RAGEX;3;2020-03-22 00:36:00
00156670424;AZITROMICINA ABC;4;2020-03-22 00:36:09
00817700420;ESCITALOPRAM DOC GENERICI;2;2020-03-22 00:36:12
00160090429;CIPROFLOXACINA MYLAN GENERICS;5;2020-03-22 00:36:12
00135880425;CITALOPRAM SUN;4;2020-03-22 00:36:50
00936410422;COLECALCIFEROLO IPSO PHARMA;3;2020-03-22 00:37:37
01577000423;POSACONAZOLO EUROGENERICI;2;2020-03-22 00:38:15
02583700428;AMOXICILLINA E ACIDO CLAVULANICO SANDOZ;2;2020-03-22 00:38:27
00123220428;FLUCONAZOLO DOC GENERICI;2;2020-03-22 00:38:30
00168260420;OTREON;4;2020-03-22 00:38:50
01573100680;VENLAFAXINA EG;4;2020-03-22 00:39:28
02537820421;OMEGA 3 DOC GENERICI;2;2020-03-22 00:39:57
00162290423;TAMSULOSINA ZENTIVA ITALIA;4;2020-03-22 00:40:04
00936580422;RAMIPRIL E AMLODIPINA DOC GENERICI;4;2020-03-22 00:40:18
00128350428;LOVASTATINA TEVA;1;2020-03-22 00:40:22
00155510423;ARIPIPRAZOLO SANDOZ GMBH;4;2020-03-22 00:40:23
02516810427;ESCITALOPRAM DOC GENERICS;4;2020-03-22 00:40:43
02206830420;NEBIVOLOLO PENSA;2;2020-03-22 00:41:10
01360590424;TERBINAFINA MYLAN GENERICS;5;2020-03-22 00:41:16
02804550420;XYZAL;5;2020-03-22 00:41:17
01115500421;AMLODIPINA AUROBINDO;2;2020-03-22 00:41:35
01018290427;PRAVASTATINA MYLAN;3;2020-03-22 00:41:56
02715180424;KUROVENT;2;2020-03-22 00:41:58
00035600428;RAMIPRIL IDROCLOROTIAZIDE EUROGENERICI;2;2020-03-22 00:42:04
00900100421;FELODIPINA ZENTIVA;1;2020-03-22 00:42:37
00108460429;CLARITROMICINA MYLAN GENERICS;5;2020-03-22 00:43:17
01099500421;CIPROFLOXACINA DOC GENERICI;1;2020-03-22 00:43:26
01341060422;RALOXIFENE SANDOZ;4;2020-03-22 00:43:46
02810370425;TRINIPLAS;3;2020-03-22 00:43:55
10166250968;OLANZAPINA DOC GENERICI;5;2020-03-22 00:43:58
01574740427;CEFIXIMA EUROGENERICI;4;2020-03-22 00:44:03
00387550429;SERETIDE DISKUS;2;2020-03-22 00:44:24
02715770422;CEFACLOR;1;2020-03-22 00:44:43
00045190428;LEVOFLOXACINA ABC;1;2020-03-22 00:45:04
00155670425;BIXON;3;2020-03-22 00:45:22
02487090421;DESFERAL;2;2020-03-22 00:45:35
02691810424;GLICOREST;5;2020-03-22 00:45:54
02450050410;FLECAINIDE AUROBINDO;5;2020-03-22 00:46:08
02346020429;ACIDO IBANDRONICO ALTER;4;2020-03-22 00:46:18
02656300429;BICALUTAMIDE EUROGENERICI;4;2020-03-22 00:47:15
02067420428;ARGONAL;4;2020-03-22 00:47:16
01229120421;IPSOFLOG;5;2020-03-22 00:47:21
02006840421;FOSFOMICINA AUROBINDO;2;2020-03-22 00:47:24
02310080425;ELUNKAST;5;2020-03-22 00:47:30
00735730426;IBUPROFENE ANGELINI;3;2020-03-22 00:47:48
00375220423;LOBIVON;5;2020-03-22 00:48:02
02374750428;OLMEDIE;4;2020-03-22 00:48:18
00992560425;SERTRALINA ACCORD;5;2020-03-22 00:48:41
00094720422;CINACALCET SANDOZ GMBH;4;2020-03-22 00:49:03
00005280425;FRIMAIND;1;2020-03-22 00:49:33
00373590421;ULCEZOL;1;2020-03-22 00:49:54
02303900423;LAMISIL;2;2020-03-22 00:50:02
00474070422;PIPERACILLINA E TAZOBACTAM KABI;2;2020-03-22 00:50:14
01525290423;CLOPIDOGREL SANDOZ GMBH;3;2020-03-22 00:50:57
00177570439;LATANOPROST EG;5;2020-03-22 00:52:07
01977970431;TRAVOPROST E TIMOLOLO ZENTIVA;2;2020-03-22 00:52:22
02263620425;AROMASIN;3;2020-03-22 00:52:49
02323720421;CETIRIZINA ALTER;3;2020-03-22 00:53:16
00446160426;ISORIAC;3;2020-03-22 00:53:23
00592060420;MONTELUKAST MYLAN GENERICS;1;2020-03-22 00:53:53
01189020066;RIZALIV;4;2020-03-22 00:55:35
00106410426;IBUPROFENE AUROBINDO;5;2020-03-22 00:55:42
01304610429;GLAMOR;1;2020-03-22 00:55:47
01141950426;FLUNISOLIDE MYLAN GENERICS;1;2020-03-22 00:56:23
02284270424;ACIDO ALENDRONICO E COLECALCIFEROLO ZENTIVA;3;2020-03-22 00:56:28
01327770424;ESOMEPRAZOLO SUN PHARMACEUTICAL INDUSTRIES (EUROPE) BV;4;2020-03-22 00:57:33
00093530426;ATENOLOLO AHCL;4;2020-03-22 00:57:47
01165430420;DOXAZOSINA PENSA;3;2020-03-22 00:57:49
01327200422;RAFANIX;4;2020-03-22 00:58:51
01891390435;AMLODIPINA TEVA;4;2020-03-22 00:59:41
02745270427;AMLODIPINA HEXAL AG;4;2020-03-22 00:59:57
02323720421;BRINZOLAMIDE SANDOZ;4;2020-03-22 01:00:04
02806420424;FUROSEMIDE DOC GENERICI;4;2020-03-22 01:00:08
01553010420;DUOPLAVIN;5;2020-03-22 01:00:13
02401720426;SUMATRIPTAN SANDOZ;1;2020-03-22 01:00:18
00155670425;DULOXETINA AUROBINDO;5;2020-03-22 01:00:20
02310740424;FOSFOMICINA SUN;1;2020-03-22 01:00:38
02298560422;SILODOSINA ARISTO;1;2020-03-22 01:00:47
