PARTITAIVA;FARMACO;QUANTITA;DATA_E_ORA
02631650427;CLINDAMICINA IBI;3;2020-03-08 00:00:34
01054480429;FALEV;4;2020-03-08 00:00:38
02204580423;ATENOLOLO ALMUS;4;2020-03-08 00:00:41
01430880425;SAIDOX;2;2020-03-08 00:00:43
00109450429;FUROSEMIDE DOC GENERICI;2;2020-03-08 00:01:05
02537820421;SOTALEX;3;2020-03-08 00:01:31
03664141201;RYTMOBETA;2;2020-03-08 00:01:58
00162290423;ZYPREXA VELOTAB;5;2020-03-08 00:02:22
01168600425;CARVEDILOLO PENSA;3;2020-03-08 00:02:42
02421410420;AMOXICILLINA SUN;1;2020-03-08 00:02:48
00093530426;MIRTAZAPINA MYLAN GENERICS ITALIA;2;2020-03-08 00:03:00
00886370428;JUMEX;3;2020-03-08 00:03:07
00936410422;COABESART;2;2020-03-08 00:03:17
02656300429;LIPSIN;2;2020-03-08 00:03:24
02536700426;RAMIPRIL SUN;5;2020-03-08 00:04:22
02745270427;AMOXICILLINA RATIOPHARM;1;2020-03-08 00:04:25
01591190424;CITALOPRAM PENSA PHARMA;1;2020-03-08 00:04:26
02174000428;RISEDRONATO DOC;3;2020-03-08 00:04:36
02490060429;AMOXICILLINA E ACIDO CLAVULANICO ABC;2;2020-03-08 00:04:37
00516270428;RISPERIDONE MYLAN PHARMA;4;2020-03-08 00:04:45
02810370425;REPAGLINIDE TEVA;1;2020-03-08 00:05:24
02174750428;ELETRIPTAN MYLAN;2;2020-03-08 00:05:29
01360590424;ULLAX;4;2020-03-08 00:05:37
02681060428;ACIDO FOLICO EG;1;2020-03-08 00:06:47
01327770424;GESTROLTEX;2;2020-03-08 00:06:47
02412410421;ETORICOXIB TEVA;2;2020-03-08 00:06:50
02303900423;NEXIUM;4;2020-03-08 00:07:02
02082790425;PRAVASTATINA MYLAN;3;2020-03-08 00:07:20
01008100420;ENALAPRIL E LERCANIDIPINA MYLAN PHARMA;4;2020-03-08 00:07:32
00106720428;ALENDROS;4;2020-03-08 00:08:08
02389050424;ROSUVASTATINA ARISTO;5;2020-03-08 00:08:10
00128350428;BISOPROLOLO EUROGENERICI;5;2020-03-08 00:08:25
00935300426;EPLERENONE TECNIGEN;4;2020-03-08 00:08:31
02770160428;OLMESARTAN E IDROCLOROTIAZIDE DOC;1;2020-03-08 00:08:55
00900100421;ALENDROS;2;2020-03-08 00:09:23
00592060420;TENSOZIDE;3;2020-03-08 00:09:41
02722250426;ANASTROZOLO DOC GENERICI;4;2020-03-08 00:10:16
00177570439;LERCANIDIPINA ZENTIVA;2;2020-03-08 00:10:43
02395430420;COIRGEN;1;2020-03-08 00:10:56
02537240422;LIPIDOVER;3;2020-03-08 00:11:15
01189020066;TERBINAFINA AUROBINDO PHARMA ITALIA;3;2020-03-08 00:11:31
01163790429;PANTOPRAZOLO ALMUS;5;2020-03-08 00:11:44
00714980422;FLUCOSTENOL;2;2020-03-08 00:11:44
01541420426;EBASTINA EG;4;2020-03-08 00:11:54
01581650429;MONTELUKAST DOROM;2;2020-03-08 00:12:00
02052850423;RAMIPRIL E IDROCLOROTIAZIDE AUROBINDO;4;2020-03-08 00:12:13
00032630428;CORIPREN;4;2020-03-08 00:12:38
02269580425;LOPIREN;5;2020-03-08 00:12:54
02536680420;RILUZOLO SUN;1;2020-03-08 00:12:58
00176320422;RIVASTIGMINA SANDOZ;4;2020-03-08 00:13:17
02671260426;DRALENOS;2;2020-03-08 00:13:17
00035600428;TORASEMIDE MYLAN GENERICS;3;2020-03-08 00:13:39
02310740424;DOXAFIN;4;2020-03-08 00:13:44
01385890429;ZOLOBREST;1;2020-03-08 00:13:49
01063290421;SIMVASTATINA ALTER;5;2020-03-08 00:13:58
02402620427;NOLPAZA;5;2020-03-08 00:13:58
02513010427;EZETIMIBE ARISTO;1;2020-03-08 00:13:59
01470350669;URSOBIL;3;2020-03-08 00:14:26
01258500428;TENSOGARD;5;2020-03-08 00:14:35
01115500421;VALSARTAN DOC GENERICI;2;2020-03-08 00:14:55
00704740422;OMEGA 3 DOC GENERICI;2;2020-03-08 00:15:10
00446160426;MILLIBAR;1;2020-03-08 00:15:20
00156300428;PIOGLITAZONE E METFORMINA EG;3;2020-03-08 00:15:34
02284270424;OLMESARTAN TECNIGEN;1;2020-03-08 00:15:35
01577040429;POSACONAZOLO MYLAN;4;2020-03-08 00:15:51
02286900424;ZIMACROL;1;2020-03-08 00:17:54
00458350428;MIRTAZAPINA MYLAN GENERICS ITALIA;2;2020-03-08 00:17:59
02550040428;NOLUS;2;2020-03-08 00:18:04
02516810427;LAMPARD;1;2020-03-08 00:18:21
02258310792;EZETIMIBE E SIMVASTATINA DOC GENERICI;5;2020-03-08 00:18:45
02808860429;NALAPRES;4;2020-03-08 00:19:08
00066360421;SEVELAMER DOC GENERICI;1;2020-03-08 00:19:23
02323720421;SIMVASTATINA ACCORD;4;2020-03-08 00:19:28
00735730426;DILTIAZEM SANDOZ GMBH;1;2020-03-08 00:19:41
01574740427;TOPIRAMATO SANDOZ;5;2020-03-08 00:20:02
00135880425;NEURONTIN;3;2020-03-08 00:20:34
00172980427;BOSIX;4;2020-03-08 00:20:46
00660470428;GLICLAZIDE ZENTIVA LAB;4;2020-03-08 00:21:04
02355240421;MANIDIPINA ZENTIVA;1;2020-03-08 00:21:10
01304610429;ENALAPRIL E IDROCLOROTIAZIDE PENSA;1;2020-03-08 00:21:18
00887830420;LISINOPRIL DOC GENERICI;2;2020-03-08 00:21:24
02364740429;POSACONAZOLO EUROGENERICI;1;2020-03-08 00:21:26
02458200421;ALMOTRIPTAN DOC GENERICI;1;2020-03-08 00:21:55
02309280416;TRAVOPROST E TIMOLOLO ZENTIVA;5;2020-03-08 00:22:19
